requests,memory,threads,cpu,anomaly
60.0,16998517.0,23.0,0.0027522830338751,0
60.0,16998517.0,23.0,0.0027522830338751,0
61.0,17003639.0,23.0,0.0024457624648627,0
61.0,17003639.0,23.0,0.0024457624648627,0
25.166666666666668,69582012.0,24.0,0.0043022600130491,1
25.166666666666668,69582012.0,24.0,0.0043022600130491,1
25.333333333333332,279821500.0,23.0,0.0066828158741344,0
25.333333333333332,279821500.0,23.0,0.0066828158741344,0
25.833333333333332,179158606.0,24.0,0.0030569729597692,1
25.833333333333332,179158606.0,24.0,0.0030569729597692,1
26.0,280086126.0,23.0,0.0034194492928091,0
26.0,280086126.0,23.0,0.0034194492928091,0
26.166666666666668,280086126.0,23.0,0.0031946916398935,0
26.166666666666668,280086126.0,23.0,0.0031946916398935,0
19.2,260589326.0,24.0,0.0040047883659174,1
19.4,279990430.0,25.0,0.0010835569883506,0
1087.25,281720511.0,23.0,0.0038101004202617,1
1088.25,357484303.0,26.0,0.0025269836378789,1
1.0,65222662.0,25.0,0.0,1
8.333333333333334,279336119.0,23.0,0.0011384820241159,0
510.0,32814349.0,23.0,0.0054980285437101,1
65.0,16913828.0,23.0,0.008664917579405,0
65.0,16913828.0,23.0,0.008664917579405,0
66.0,16915931.0,23.0,0.0091525826653056,0
66.0,16915931.0,23.0,0.0091525826653056,0
